card_id,expected_clicks,conversion_rate,revenue_per_click,expected_sales,expected_revenue
30,105.03007518796991,0.3167259786476868,13.935943060498222,33.2657533513499,1463.6931474593957
31,18.57142857142857,0.2625,11.55,4.875,214.5
7,7.465897435897436,0.35135135135135137,11.945945945945946,2.6231531531531536,89.18720720720721
23,4.645161290322581,0.32608695652173914,11.41304347826087,1.5147265077138852,53.015427769985976
8,2.4212454212454215,0.44,19.8,1.0653479853479855,47.940659340659344
15,3.3825757575757573,0.46938775510204084,13.14285714285714,1.5877396413110698,44.45670995670994
24,3.666666666666667,0.32894736842105265,11.513157894736842,1.206140350877193,42.21491228070176
14,4.2165322580645155,0.24193548387096775,8.46774193548387,1.0201287721123828,35.704507023933395
9,2.9240506329113924,0.3524590163934426,11.98360655737705,1.0306080099605728,35.040672338659476
4,2.0,0.35714285714285715,12.142857142857142,0.7142857142857143,24.285714285714285
10,1.485981308411215,0.36065573770491804,16.229508196721312,0.535927685000766,24.116745825034474
22,1.8260869565217392,0.3793103448275862,12.89655172413793,0.6926536731634183,23.550224887556222
25,1.6332556332556334,0.3333333333333333,11.666666666666666,0.5444185444185444,19.054649054649055
2,0.8333333333333334,0.47692307692307695,16.692307692307697,0.39743589743589747,13.910256410256414
16,0.6363636363636364,0.42857142857142855,15.0,0.2727272727272727,9.545454545454545
3,0.23333333333333334,0.4583333333333333,14.666666666666666,0.10694444444444444,3.422222222222222
